National №,Name,Type,Species,Height in m,Height in pouce,Weight in kg,Weight in lbs,Abilities,Local №,EV yield,Catch rate,Catch rate details,Base Friendship,Base Friendship text,Base Exp.,Growth Rate,Egg Groups,Gender % male,Gender % female,Egg cycles,Egg cycles details,HP,HP Min,HP Max,Attack,Attack Min,Attack Max,Defense,Defense Min,Defense Max,Sp. Atk,Sp. Atk Min,Sp. Atk Max,Sp. Def,Sp. Def Min,Sp. Def Max,Speed,Speed Min,Speed Max,img_url,Generation
23,Ekans,Poison,Snake Pokémon,2.0,"6,07",6.9,15.2,1. Intimidate2. Shed SkinUnnerve (hidden ability),023 (Red/Blue/Yellow)050 (Gold/Silver/Crystal)023 (FireRed/LeafGreen)050 (HeartGold/SoulSilver)037 (X/Y — Mountain Kalos)061 (U.Sun/U.Moon — Alola dex)023 (Let's Go Pikachu/Let's Go Eevee),1 Attack,255.0,"33.3% with PokéBall, full HP",50.0,normal,58.0,Medium Fast,"Dragon, Field",50,50.0,20.0,"4,884–5,140 steps",35.0,180.0,274.0,60.0,112.0,240.0,44.0,83.0,205.0,40.0,76.0,196.0,54.0,101.0,227.0,55.0,103.0,229.0,https://img.pokemondb.net/artwork/ekans.jpg,1.0
24,Arbok,Poison,Cobra Pokémon,3.5,"11,06",65.0,143.3,1. Intimidate2. Shed SkinUnnerve (hidden ability),024 (Red/Blue/Yellow)051 (Gold/Silver/Crystal)024 (FireRed/LeafGreen)051 (HeartGold/SoulSilver)038 (X/Y — Mountain Kalos)062 (U.Sun/U.Moon — Alola dex)024 (Let's Go Pikachu/Let's Go Eevee),2 Attack,90.0,"11.8% with PokéBall, full HP",50.0,normal,157.0,Medium Fast,"Dragon, Field",50,50.0,20.0,"4,884–5,140 steps",60.0,230.0,324.0,95.0,175.0,317.0,69.0,128.0,260.0,65.0,121.0,251.0,79.0,146.0,282.0,80.0,148.0,284.0,https://img.pokemondb.net/artwork/arbok.jpg,1.0
25,Pikachu,Electric,Mouse Pokémon,0.4,"1,04",6.0,13.2,1. StaticLightning Rod (hidden ability),025 (Yellow/Red/Blue)022 (Gold/Silver/Crystal)156 (Ruby/Sapphire/Emerald)025 (FireRed/LeafGreen)104 (Diamond/Pearl)104 (Platinum)022 (HeartGold/SoulSilver)036 (X/Y — Central Kalos)163 (Omega Ruby/Alpha Sapphire)025 (Sun/Moon — Alola dex)032 (U.Sun/U.Moon — Alola dex)025 (Let's Go Pikachu/Let's Go Eevee)194 (Sword/Shield)104 (Brilliant Diamond/Shining Pearl)056 (Legends: Arceus)085 (The Isle of Armor),2 Speed,190.0,"24.8% with PokéBall, full HP",50.0,normal,112.0,Medium Fast,"Fairy, Field",50,50.0,10.0,"2,314–2,570 steps",35.0,180.0,274.0,55.0,103.0,229.0,40.0,76.0,196.0,50.0,94.0,218.0,50.0,94.0,218.0,90.0,166.0,306.0,https://img.pokemondb.net/artwork/pikachu.jpg,1.0
26,Raichu,Electric,Mouse Pokémon,0.8,"2,07",30.0,66.1,1. StaticLightning Rod (hidden ability),026 (Yellow/Red/Blue)023 (Gold/Silver/Crystal)157 (Ruby/Sapphire/Emerald)026 (FireRed/LeafGreen)105 (Diamond/Pearl)105 (Platinum)023 (HeartGold/SoulSilver)037 (X/Y — Central Kalos)164 (Omega Ruby/Alpha Sapphire)026 (Sun/Moon — Alola dex)033 (U.Sun/U.Moon — Alola dex)026 (Let's Go Pikachu/Let's Go Eevee)195 (Sword/Shield)105 (Brilliant Diamond/Shining Pearl)057 (Legends: Arceus)086 (The Isle of Armor),3 Speed,75.0,"9.8% with PokéBall, full HP",50.0,normal,218.0,Medium Fast,"Fairy, Field",50,50.0,10.0,"2,314–2,570 steps",60.0,230.0,324.0,90.0,166.0,306.0,55.0,103.0,229.0,90.0,166.0,306.0,80.0,148.0,284.0,110.0,202.0,350.0,https://img.pokemondb.net/artwork/raichu.jpg,1.0
27,Sandshrew,Ground,Mouse Pokémon,0.6,"2,00",12.0,26.5,1. Sand VeilSand Rush (hidden ability),027 (Red/Blue/Yellow)048 (Gold/Silver/Crystal)112 (Ruby/Sapphire/Emerald)027 (FireRed/LeafGreen)048 (HeartGold/SoulSilver)113 (Black 2/White 2)097 (X/Y — Mountain Kalos)117 (Omega Ruby/Alpha Sapphire)251 (Sun/Moon — Alola dex)328 (U.Sun/U.Moon — Alola dex)027 (Let's Go Pikachu/Let's Go Eevee)168 (The Isle of Armor),1 Defense,255.0,"33.3% with PokéBall, full HP",50.0,normal,60.0,Medium Fast,Field,50,50.0,20.0,"4,884–5,140 steps",50.0,210.0,304.0,75.0,139.0,273.0,85.0,157.0,295.0,20.0,40.0,152.0,30.0,58.0,174.0,40.0,76.0,196.0,https://img.pokemondb.net/artwork/sandshrew.jpg,1.0
28,Sandslash,Ground,Mouse Pokémon,1.0,"3,03",29.5,65.0,1. Sand VeilSand Rush (hidden ability),028 (Red/Blue/Yellow)049 (Gold/Silver/Crystal)113 (Ruby/Sapphire/Emerald)028 (FireRed/LeafGreen)049 (HeartGold/SoulSilver)114 (Black 2/White 2)098 (X/Y — Mountain Kalos)118 (Omega Ruby/Alpha Sapphire)252 (Sun/Moon — Alola dex)329 (U.Sun/U.Moon — Alola dex)028 (Let's Go Pikachu/Let's Go Eevee)169 (The Isle of Armor),2 Defense,90.0,"11.8% with PokéBall, full HP",50.0,normal,158.0,Medium Fast,Field,50,50.0,20.0,"4,884–5,140 steps",75.0,260.0,354.0,100.0,184.0,328.0,110.0,202.0,350.0,45.0,85.0,207.0,55.0,103.0,229.0,65.0,121.0,251.0,https://img.pokemondb.net/artwork/sandslash.jpg,1.0
29,Nidoran♀ (female),Poison,Poison Pin Pokémon,0.4,"1,04",7.0,15.4,1. Poison Point2. RivalryHustle (hidden ability),029 (Red/Blue/Yellow)095 (Gold/Silver/Crystal)029 (FireRed/LeafGreen)095 (HeartGold/SoulSilver)104 (X/Y — Coastal Kalos)029 (Let's Go Pikachu/Let's Go Eevee)065 (The Crown Tundra),1 HP,235.0,"30.7% with PokéBall, full HP",50.0,normal,55.0,Medium Slow,"Field, Monster",0,100.0,20.0,"4,884–5,140 steps",55.0,220.0,314.0,47.0,89.0,212.0,52.0,98.0,223.0,40.0,76.0,196.0,40.0,76.0,196.0,41.0,78.0,199.0,https://img.pokemondb.net/artwork/nidoran-f.jpg,1.0
30,Nidorina,Poison,Poison Pin Pokémon,0.8,"2,07",20.0,44.1,1. Poison Point2. RivalryHustle (hidden ability),030 (Red/Blue/Yellow)096 (Gold/Silver/Crystal)030 (FireRed/LeafGreen)096 (HeartGold/SoulSilver)105 (X/Y — Coastal Kalos)030 (Let's Go Pikachu/Let's Go Eevee)066 (The Crown Tundra),2 HP,120.0,"15.7% with PokéBall, full HP",50.0,normal,128.0,Medium Slow,Undiscovered,0,100.0,20.0,"4,884–5,140 steps",70.0,250.0,344.0,62.0,116.0,245.0,67.0,125.0,256.0,55.0,103.0,229.0,55.0,103.0,229.0,56.0,105.0,232.0,https://img.pokemondb.net/artwork/nidorina.jpg,1.0
31,Nidoqueen,Poison Ground,Drill Pokémon,1.3,"4,03",60.0,132.3,1. Poison Point2. RivalrySheer Force (hidden ability),031 (Red/Blue/Yellow)097 (Gold/Silver/Crystal)031 (FireRed/LeafGreen)097 (HeartGold/SoulSilver)106 (X/Y — Coastal Kalos)031 (Let's Go Pikachu/Let's Go Eevee)067 (The Crown Tundra),3 HP,45.0,"5.9% with PokéBall, full HP",50.0,normal,227.0,Medium Slow,Undiscovered,0,100.0,20.0,"4,884–5,140 steps",90.0,290.0,384.0,92.0,170.0,311.0,87.0,161.0,300.0,75.0,139.0,273.0,85.0,157.0,295.0,76.0,141.0,276.0,https://img.pokemondb.net/artwork/nidoqueen.jpg,1.0
32,Nidoran♂ (male),Poison,Poison Pin Pokémon,0.5,"1,08",9.0,19.8,1. Poison Point2. RivalryHustle (hidden ability),032 (Red/Blue/Yellow)098 (Gold/Silver/Crystal)032 (FireRed/LeafGreen)098 (HeartGold/SoulSilver)107 (X/Y — Coastal Kalos)032 (Let's Go Pikachu/Let's Go Eevee)068 (The Crown Tundra),1 Attack,235.0,"30.7% with PokéBall, full HP",50.0,normal,55.0,Medium Slow,"Field, Monster",100,0.0,20.0,"4,884–5,140 steps",46.0,202.0,296.0,57.0,107.0,234.0,40.0,76.0,196.0,40.0,76.0,196.0,40.0,76.0,196.0,50.0,94.0,218.0,https://img.pokemondb.net/artwork/nidoran-m.jpg,1.0
33,Nidorino,Poison,Poison Pin Pokémon,0.9,"2,11",19.5,43.0,1. Poison Point2. RivalryHustle (hidden ability),033 (Red/Blue/Yellow)099 (Gold/Silver/Crystal)033 (FireRed/LeafGreen)099 (HeartGold/SoulSilver)108 (X/Y — Coastal Kalos)033 (Let's Go Pikachu/Let's Go Eevee)069 (The Crown Tundra),2 Attack,120.0,"15.7% with PokéBall, full HP",50.0,normal,128.0,Medium Slow,"Field, Monster",100,0.0,20.0,"4,884–5,140 steps",61.0,232.0,326.0,72.0,134.0,267.0,57.0,107.0,234.0,55.0,103.0,229.0,55.0,103.0,229.0,65.0,121.0,251.0,https://img.pokemondb.net/artwork/nidorino.jpg,1.0
34,Nidoking,Poison Ground,Drill Pokémon,1.4,"4,07",62.0,136.7,1. Poison Point2. RivalrySheer Force (hidden ability),034 (Red/Blue/Yellow)100 (Gold/Silver/Crystal)034 (FireRed/LeafGreen)100 (HeartGold/SoulSilver)109 (X/Y — Coastal Kalos)034 (Let's Go Pikachu/Let's Go Eevee)070 (The Crown Tundra),3 Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,227.0,Medium Slow,"Field, Monster",100,0.0,20.0,"4,884–5,140 steps",81.0,272.0,366.0,102.0,188.0,333.0,77.0,143.0,278.0,85.0,157.0,295.0,75.0,139.0,273.0,85.0,157.0,295.0,https://img.pokemondb.net/artwork/nidoking.jpg,1.0
35,Clefairy,Fairy,Fairy Pokémon,0.6,"2,00",7.5,16.5,1. Cute Charm2. Magic GuardFriend Guard (hidden ability),035 (Red/Blue/Yellow)041 (Gold/Silver/Crystal)035 (FireRed/LeafGreen)100 (Diamond/Pearl)100 (Platinum)041 (HeartGold/SoulSilver)089 (Black 2/White 2)211 (Sun/Moon — Alola dex)273 (U.Sun/U.Moon — Alola dex)035 (Let's Go Pikachu/Let's Go Eevee)255 (Sword/Shield)100 (Brilliant Diamond/Shining Pearl)200 (Legends: Arceus)044 (The Crown Tundra),2 HP,150.0,"19.6% with PokéBall, full HP",140.0,higher than normal,113.0,Fast,Fairy,25,75.0,10.0,"2,314–2,570 steps",70.0,250.0,344.0,45.0,85.0,207.0,48.0,90.0,214.0,60.0,112.0,240.0,65.0,121.0,251.0,35.0,67.0,185.0,https://img.pokemondb.net/artwork/clefairy.jpg,1.0
36,Clefable,Fairy,Fairy Pokémon,1.3,"4,03",40.0,88.2,1. Cute Charm2. Magic GuardUnaware (hidden ability),036 (Red/Blue/Yellow)042 (Gold/Silver/Crystal)036 (FireRed/LeafGreen)101 (Diamond/Pearl)101 (Platinum)042 (HeartGold/SoulSilver)090 (Black 2/White 2)212 (Sun/Moon — Alola dex)274 (U.Sun/U.Moon — Alola dex)036 (Let's Go Pikachu/Let's Go Eevee)256 (Sword/Shield)101 (Brilliant Diamond/Shining Pearl)201 (Legends: Arceus)045 (The Crown Tundra),3 HP,25.0,"3.3% with PokéBall, full HP",140.0,higher than normal,217.0,Fast,Fairy,25,75.0,10.0,"2,314–2,570 steps",95.0,300.0,394.0,70.0,130.0,262.0,73.0,135.0,269.0,95.0,175.0,317.0,90.0,166.0,306.0,60.0,112.0,240.0,https://img.pokemondb.net/artwork/clefable.jpg,1.0
