,National №,Type,Species,Height in m,Height in pouce,Weight in kg,Weight in lbs,Abilities,Local №,EV yield,Catch rate,Catch rate details,Base Friendship,Base Friendship text,Base Exp.,Growth Rate,Egg Groups,Gender % male,Gender % female,Egg cycles,Egg cycles details,HP,HP Min,HP Max,Attack,Attack Min,Attack Max,Defense,Defense Min,Defense Max,Sp. Atk,Sp. Atk Min,Sp. Atk Max,Sp. Def,Sp. Def Min,Sp. Def Max,Speed,Speed Min,Speed Max,Name,img_url,Generation
15,016,Normal Flying,Tiny Bird,0.3,1.00,1.8,4.0,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),016 (Red/Blue/Yellow)010 (Gold/Silver/Crystal)016 (FireRed/LeafGreen)010 (HeartGold/SoulSilver)017 (X/Y — Central Kalos)016 (Let's Go Pikachu/Let's Go Eevee),1 Speed,255,"33.3% with PokéBall, full HP",50,normal,50,Medium Slow,Flying,50,50,15,"3,599–3,855 steps",40,190,284,45,85,207,40,76,196,35,67,185,35,67,185,56,105,232,Pidgey,https://img.pokemondb.net/artwork/pidgey.jpg,
16,017,Normal Flying,Bird,1.1,3.07,30.0,66.1,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),017 (Red/Blue/Yellow)011 (Gold/Silver/Crystal)017 (FireRed/LeafGreen)011 (HeartGold/SoulSilver)018 (X/Y — Central Kalos)017 (Let's Go Pikachu/Let's Go Eevee),2 Speed,120,"15.7% with PokéBall, full HP",50,normal,122,Medium Slow,Flying,50,50,15,"3,599–3,855 steps",63,236,330,60,112,240,55,103,229,50,94,218,50,94,218,71,132,265,Pidgeotto,https://img.pokemondb.net/artwork/pidgeotto.jpg,
17,018,Normal Flying,Bird,1.5,4.11,39.5,87.1,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),018 (Red/Blue/Yellow)012 (Gold/Silver/Crystal)018 (FireRed/LeafGreen)012 (HeartGold/SoulSilver)019 (X/Y — Central Kalos)018 (Let's Go Pikachu/Let's Go Eevee),3 Speed,45,"5.9% with PokéBall, full HP",50,normal,216,Medium Slow,Flying,50,50,15,"3,599–3,855 steps",83,276,370,80,148,284,75,139,273,70,130,262,70,130,262,101,186,331,Pidgeot,https://img.pokemondb.net/artwork/pidgeot.jpg,
18,019,Normal,Mouse,0.3,1.00,3.5,7.7,1. Run Away2. GutsHustle (hidden ability),019 (Red/Blue/Yellow)017 (Gold/Silver/Crystal)019 (FireRed/LeafGreen)017 (HeartGold/SoulSilver)059 (Black 2/White 2)015 (Sun/Moon — Alola dex)015 (U.Sun/U.Moon — Alola dex)019 (Let's Go Pikachu/Let's Go Eevee),1 Speed,255,"33.3% with PokéBall, full HP",50,normal,51,Medium Fast,Field,50,50,15,"3,599–3,855 steps",30,170,264,56,105,232,35,67,185,25,49,163,35,67,185,72,134,267,Rattata,https://img.pokemondb.net/artwork/rattata.jpg,
19,020,Normal,Mouse,0.7,2.04,18.5,40.8,1. Run Away2. GutsHustle (hidden ability),020 (Red/Blue/Yellow)018 (Gold/Silver/Crystal)020 (FireRed/LeafGreen)018 (HeartGold/SoulSilver)060 (Black 2/White 2)016 (Sun/Moon — Alola dex)016 (U.Sun/U.Moon — Alola dex)020 (Let's Go Pikachu/Let's Go Eevee),2 Speed,127,"16.6% with PokéBall, full HP",50,normal,145,Medium Fast,Field,50,50,15,"3,599–3,855 steps",55,220,314,81,150,287,60,112,240,50,94,218,70,130,262,97,179,322,Raticate,https://img.pokemondb.net/artwork/raticate.jpg,
20,021,Normal Flying,Tiny Bird,0.3,1.00,2.0,4.4,1. Keen EyeSniper (hidden ability),021 (Red/Blue/Yellow)013 (Gold/Silver/Crystal)021 (FireRed/LeafGreen)013 (HeartGold/SoulSilver)109 (X/Y — Mountain Kalos)073 (Sun/Moon — Alola dex)087 (U.Sun/U.Moon — Alola dex)021 (Let's Go Pikachu/Let's Go Eevee),1 Speed,255,"33.3% with PokéBall, full HP",50,normal,52,Medium Fast,Flying,50,50,15,"3,599–3,855 steps",40,190,284,60,112,240,30,58,174,31,60,177,31,60,177,70,130,262,Spearow,https://img.pokemondb.net/artwork/spearow.jpg,
21,022,Normal Flying,Beak,1.2,3.11,38.0,83.8,1. Keen EyeSniper (hidden ability),022 (Red/Blue/Yellow)014 (Gold/Silver/Crystal)022 (FireRed/LeafGreen)014 (HeartGold/SoulSilver)110 (X/Y — Mountain Kalos)074 (Sun/Moon — Alola dex)088 (U.Sun/U.Moon — Alola dex)022 (Let's Go Pikachu/Let's Go Eevee),2 Speed,90,"11.8% with PokéBall, full HP",50,normal,155,Medium Fast,Flying,50,50,15,"3,599–3,855 steps",65,240,334,90,166,306,65,121,251,61,114,243,61,114,243,100,184,328,Fearow,https://img.pokemondb.net/artwork/fearow.jpg,
22,023,Poison,Snake,2.0,6.07,6.9,15.2,1. Intimidate2. Shed SkinUnnerve (hidden ability),023 (Red/Blue/Yellow)050 (Gold/Silver/Crystal)023 (FireRed/LeafGreen)050 (HeartGold/SoulSilver)037 (X/Y — Mountain Kalos)061 (U.Sun/U.Moon — Alola dex)023 (Let's Go Pikachu/Let's Go Eevee),1 Attack,255,"33.3% with PokéBall, full HP",50,normal,58,Medium Fast,"Dragon, Field",50,50,20,"4,884–5,140 steps",35,180,274,60,112,240,44,83,205,40,76,196,54,101,227,55,103,229,Ekans,https://img.pokemondb.net/artwork/ekans.jpg,
23,024,Poison,Cobra,3.5,11.06,65.0,143.3,1. Intimidate2. Shed SkinUnnerve (hidden ability),024 (Red/Blue/Yellow)051 (Gold/Silver/Crystal)024 (FireRed/LeafGreen)051 (HeartGold/SoulSilver)038 (X/Y — Mountain Kalos)062 (U.Sun/U.Moon — Alola dex)024 (Let's Go Pikachu/Let's Go Eevee),2 Attack,90,"11.8% with PokéBall, full HP",50,normal,157,Medium Fast,"Dragon, Field",50,50,20,"4,884–5,140 steps",60,230,324,95,175,317,69,128,260,65,121,251,79,146,282,80,148,284,Arbok,https://img.pokemondb.net/artwork/arbok.jpg,
24,025,Electric,Mouse,0.4,1.04,6.0,13.2,1. StaticLightning Rod (hidden ability),025 (Yellow/Red/Blue)022 (Gold/Silver/Crystal)156 (Ruby/Sapphire/Emerald)025 (FireRed/LeafGreen)104 (Diamond/Pearl)104 (Platinum)022 (HeartGold/SoulSilver)036 (X/Y — Central Kalos)163 (Omega Ruby/Alpha Sapphire)025 (Sun/Moon — Alola dex)032 (U.Sun/U.Moon — Alola dex)025 (Let's Go Pikachu/Let's Go Eevee)194 (Sword/Shield)104 (Brilliant Diamond/Shining Pearl)056 (Legends: Arceus)085 (The Isle of Armor),2 Speed,190,"24.8% with PokéBall, full HP",50,normal,112,Medium Fast,"Fairy, Field",50,50,10,"2,314–2,570 steps",35,180,274,55,103,229,40,76,196,50,94,218,50,94,218,90,166,306,Pikachu,https://img.pokemondb.net/artwork/pikachu.jpg,
25,026,Electric,Mouse,0.8,2.07,30.0,66.1,1. StaticLightning Rod (hidden ability),026 (Yellow/Red/Blue)023 (Gold/Silver/Crystal)157 (Ruby/Sapphire/Emerald)026 (FireRed/LeafGreen)105 (Diamond/Pearl)105 (Platinum)023 (HeartGold/SoulSilver)037 (X/Y — Central Kalos)164 (Omega Ruby/Alpha Sapphire)026 (Sun/Moon — Alola dex)033 (U.Sun/U.Moon — Alola dex)026 (Let's Go Pikachu/Let's Go Eevee)195 (Sword/Shield)105 (Brilliant Diamond/Shining Pearl)057 (Legends: Arceus)086 (The Isle of Armor),3 Speed,75,"9.8% with PokéBall, full HP",50,normal,218,Medium Fast,"Fairy, Field",50,50,10,"2,314–2,570 steps",60,230,324,90,166,306,55,103,229,90,166,306,80,148,284,110,202,350,Raichu,https://img.pokemondb.net/artwork/raichu.jpg,
26,027,Ground,Mouse,0.6,2.00,12.0,26.5,1. Sand VeilSand Rush (hidden ability),027 (Red/Blue/Yellow)048 (Gold/Silver/Crystal)112 (Ruby/Sapphire/Emerald)027 (FireRed/LeafGreen)048 (HeartGold/SoulSilver)113 (Black 2/White 2)097 (X/Y — Mountain Kalos)117 (Omega Ruby/Alpha Sapphire)251 (Sun/Moon — Alola dex)328 (U.Sun/U.Moon — Alola dex)027 (Let's Go Pikachu/Let's Go Eevee)168 (The Isle of Armor),1 Defense,255,"33.3% with PokéBall, full HP",50,normal,60,Medium Fast,Field,50,50,20,"4,884–5,140 steps",50,210,304,75,139,273,85,157,295,20,40,152,30,58,174,40,76,196,Sandshrew,https://img.pokemondb.net/artwork/sandshrew.jpg,
27,028,Ground,Mouse,1.0,3.03,29.5,65.0,1. Sand VeilSand Rush (hidden ability),028 (Red/Blue/Yellow)049 (Gold/Silver/Crystal)113 (Ruby/Sapphire/Emerald)028 (FireRed/LeafGreen)049 (HeartGold/SoulSilver)114 (Black 2/White 2)098 (X/Y — Mountain Kalos)118 (Omega Ruby/Alpha Sapphire)252 (Sun/Moon — Alola dex)329 (U.Sun/U.Moon — Alola dex)028 (Let's Go Pikachu/Let's Go Eevee)169 (The Isle of Armor),2 Defense,90,"11.8% with PokéBall, full HP",50,normal,158,Medium Fast,Field,50,50,20,"4,884–5,140 steps",75,260,354,100,184,328,110,202,350,45,85,207,55,103,229,65,121,251,Sandslash,https://img.pokemondb.net/artwork/sandslash.jpg,
28,029,Poison,Poison Pin,0.4,1.04,7.0,15.4,1. Poison Point2. RivalryHustle (hidden ability),029 (Red/Blue/Yellow)095 (Gold/Silver/Crystal)029 (FireRed/LeafGreen)095 (HeartGold/SoulSilver)104 (X/Y — Coastal Kalos)029 (Let's Go Pikachu/Let's Go Eevee)065 (The Crown Tundra),1 HP,235,"30.7% with PokéBall, full HP",50,normal,55,Medium Slow,"Field, Monster",0,100,20,"4,884–5,140 steps",55,220,314,47,89,212,52,98,223,40,76,196,40,76,196,41,78,199,Nidoran♀ (female),https://img.pokemondb.net/artwork/nidoran-f.jpg,
29,030,Poison,Poison Pin,0.8,2.07,20.0,44.1,1. Poison Point2. RivalryHustle (hidden ability),030 (Red/Blue/Yellow)096 (Gold/Silver/Crystal)030 (FireRed/LeafGreen)096 (HeartGold/SoulSilver)105 (X/Y — Coastal Kalos)030 (Let's Go Pikachu/Let's Go Eevee)066 (The Crown Tundra),2 HP,120,"15.7% with PokéBall, full HP",50,normal,128,Medium Slow,Undiscovered,0,100,20,"4,884–5,140 steps",70,250,344,62,116,245,67,125,256,55,103,229,55,103,229,56,105,232,Nidorina,https://img.pokemondb.net/artwork/nidorina.jpg,
30,031,Poison Ground,Drill,1.3,4.03,60.0,132.3,1. Poison Point2. RivalrySheer Force (hidden ability),031 (Red/Blue/Yellow)097 (Gold/Silver/Crystal)031 (FireRed/LeafGreen)097 (HeartGold/SoulSilver)106 (X/Y — Coastal Kalos)031 (Let's Go Pikachu/Let's Go Eevee)067 (The Crown Tundra),3 HP,45,"5.9% with PokéBall, full HP",50,normal,227,Medium Slow,Undiscovered,0,100,20,"4,884–5,140 steps",90,290,384,92,170,311,87,161,300,75,139,273,85,157,295,76,141,276,Nidoqueen,https://img.pokemondb.net/artwork/nidoqueen.jpg,
31,032,Poison,Poison Pin,0.5,1.08,9.0,19.8,1. Poison Point2. RivalryHustle (hidden ability),032 (Red/Blue/Yellow)098 (Gold/Silver/Crystal)032 (FireRed/LeafGreen)098 (HeartGold/SoulSilver)107 (X/Y — Coastal Kalos)032 (Let's Go Pikachu/Let's Go Eevee)068 (The Crown Tundra),1 Attack,235,"30.7% with PokéBall, full HP",50,normal,55,Medium Slow,"Field, Monster",100,0,20,"4,884–5,140 steps",46,202,296,57,107,234,40,76,196,40,76,196,40,76,196,50,94,218,Nidoran♂ (male),https://img.pokemondb.net/artwork/nidoran-m.jpg,
32,033,Poison,Poison Pin,0.9,2.11,19.5,43.0,1. Poison Point2. RivalryHustle (hidden ability),033 (Red/Blue/Yellow)099 (Gold/Silver/Crystal)033 (FireRed/LeafGreen)099 (HeartGold/SoulSilver)108 (X/Y — Coastal Kalos)033 (Let's Go Pikachu/Let's Go Eevee)069 (The Crown Tundra),2 Attack,120,"15.7% with PokéBall, full HP",50,normal,128,Medium Slow,"Field, Monster",100,0,20,"4,884–5,140 steps",61,232,326,72,134,267,57,107,234,55,103,229,55,103,229,65,121,251,Nidorino,https://img.pokemondb.net/artwork/nidorino.jpg,
33,034,Poison Ground,Drill,1.4,4.07,62.0,136.7,1. Poison Point2. RivalrySheer Force (hidden ability),034 (Red/Blue/Yellow)100 (Gold/Silver/Crystal)034 (FireRed/LeafGreen)100 (HeartGold/SoulSilver)109 (X/Y — Coastal Kalos)034 (Let's Go Pikachu/Let's Go Eevee)070 (The Crown Tundra),3 Attack,45,"5.9% with PokéBall, full HP",50,normal,227,Medium Slow,"Field, Monster",100,0,20,"4,884–5,140 steps",81,272,366,102,188,333,77,143,278,85,157,295,75,139,273,85,157,295,Nidoking,https://img.pokemondb.net/artwork/nidoking.jpg,
34,035,Fairy,Fairy,0.6,2.00,7.5,16.5,1. Cute Charm2. Magic GuardFriend Guard (hidden ability),035 (Red/Blue/Yellow)041 (Gold/Silver/Crystal)035 (FireRed/LeafGreen)100 (Diamond/Pearl)100 (Platinum)041 (HeartGold/SoulSilver)089 (Black 2/White 2)211 (Sun/Moon — Alola dex)273 (U.Sun/U.Moon — Alola dex)035 (Let's Go Pikachu/Let's Go Eevee)255 (Sword/Shield)100 (Brilliant Diamond/Shining Pearl)200 (Legends: Arceus)044 (The Crown Tundra),2 HP,150,"19.6% with PokéBall, full HP",140,higher than normal,113,Fast,Fairy,25,75,10,"2,314–2,570 steps",70,250,344,45,85,207,48,90,214,60,112,240,65,121,251,35,67,185,Clefairy,https://img.pokemondb.net/artwork/clefairy.jpg,
35,036,Fairy,Fairy,1.3,4.03,40.0,88.2,1. Cute Charm2. Magic GuardUnaware (hidden ability),036 (Red/Blue/Yellow)042 (Gold/Silver/Crystal)036 (FireRed/LeafGreen)101 (Diamond/Pearl)101 (Platinum)042 (HeartGold/SoulSilver)090 (Black 2/White 2)212 (Sun/Moon — Alola dex)274 (U.Sun/U.Moon — Alola dex)036 (Let's Go Pikachu/Let's Go Eevee)256 (Sword/Shield)101 (Brilliant Diamond/Shining Pearl)201 (Legends: Arceus)045 (The Crown Tundra),3 HP,25,"3.3% with PokéBall, full HP",140,higher than normal,217,Fast,Fairy,25,75,10,"2,314–2,570 steps",95,300,394,70,130,262,73,135,269,95,175,317,90,166,306,60,112,240,Clefable,https://img.pokemondb.net/artwork/clefable.jpg,
36,037,Fire,Fox,0.6,2.00,9.9,21.8,1. Flash FireDrought (hidden ability),037 (Red/Blue/Yellow)125 (Gold/Silver/Crystal)153 (Ruby/Sapphire/Emerald)037 (FireRed/LeafGreen)127 (HeartGold/SoulSilver)248 (Black 2/White 2)160 (Omega Ruby/Alpha Sapphire)253 (Sun/Moon — Alola dex)330 (U.Sun/U.Moon — Alola dex)037 (Let's Go Pikachu/Let's Go Eevee)068 (Sword/Shield)168 (Legends: Arceus),1 Speed,190,"24.8% with PokéBall, full HP",50,normal,60,Medium Fast,Field,25,75,20,"4,884–5,140 steps",38,186,280,41,78,199,40,76,196,50,94,218,65,121,251,65,121,251,Vulpix,https://img.pokemondb.net/artwork/vulpix.jpg,
37,038,Fire,Fox,1.1,3.07,19.9,43.9,1. Flash FireDrought (hidden ability),038 (Red/Blue/Yellow)126 (Gold/Silver/Crystal)154 (Ruby/Sapphire/Emerald)038 (FireRed/LeafGreen)128 (HeartGold/SoulSilver)249 (Black 2/White 2)161 (Omega Ruby/Alpha Sapphire)254 (Sun/Moon — Alola dex)331 (U.Sun/U.Moon — Alola dex)038 (Let's Go Pikachu/Let's Go Eevee)069 (Sword/Shield)169 (Legends: Arceus),"1 Special Defense, 1 Speed",75,"9.8% with PokéBall, full HP",50,normal,177,Medium Fast,Field,25,75,20,"4,884–5,140 steps",73,256,350,76,141,276,75,139,273,81,150,287,100,184,328,100,184,328,Ninetales,https://img.pokemondb.net/artwork/ninetales.jpg,
38,039,Normal Fairy,Balloon,0.5,1.08,5.5,12.1,1. Cute Charm2. CompetitiveFriend Guard (hidden ability),039 (Red/Blue/Yellow)044 (Gold/Silver/Crystal)138 (Ruby/Sapphire/Emerald)039 (FireRed/LeafGreen)044 (HeartGold/SoulSilver)282 (Black 2/White 2)120 (X/Y — Mountain Kalos)143 (Omega Ruby/Alpha Sapphire)135 (Sun/Moon — Alola dex)168 (U.Sun/U.Moon — Alola dex)039 (Let's Go Pikachu/Let's Go Eevee)012 (The Isle of Armor),2 HP,170,"22.2% with PokéBall, full HP",50,normal,95,Fast,Fairy,25,75,10,"2,314–2,570 steps",115,340,434,45,85,207,20,40,152,45,85,207,25,49,163,20,40,152,Jigglypuff,https://img.pokemondb.net/artwork/jigglypuff.jpg,
39,040,Normal Fairy,Balloon,1.0,3.03,12.0,26.5,1. Cute Charm2. CompetitiveFrisk (hidden ability),040 (Red/Blue/Yellow)045 (Gold/Silver/Crystal)139 (Ruby/Sapphire/Emerald)040 (FireRed/LeafGreen)045 (HeartGold/SoulSilver)283 (Black 2/White 2)121 (X/Y — Mountain Kalos)144 (Omega Ruby/Alpha Sapphire)136 (Sun/Moon — Alola dex)169 (U.Sun/U.Moon — Alola dex)040 (Let's Go Pikachu/Let's Go Eevee)013 (The Isle of Armor),3 HP,50,"6.5% with PokéBall, full HP",50,normal,196,Fast,Fairy,25,75,10,"2,314–2,570 steps",140,390,484,70,130,262,45,85,207,85,157,295,50,94,218,45,85,207,Wigglytuff,https://img.pokemondb.net/artwork/wigglytuff.jpg,
